ORDER_ID,ORDER_DATE,ORDER_PRIORITY,ORDER_QUANTITY,SALES,DISCOUNT,SHIP_MODE,PROFIT,UNIT_PRICE,SHIPPING_COST,CUSTOMER_NAME,STATE,CUSTOMER_SEGMENT,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,PRODUCT_BASE_MARGIN,SHIP_DATE,COST,PACKAGE_SIZE,PACKAGE_TYPE
3524,5/2/12,High,21,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole Hansen,NY,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,37.0,5/3/12,398.37,Small,Box
3908,3/8/10,Medium,8,820.284,0.0,Regular Air,-180.2,115.99,2.5,Dorothy Wardle,NY,Corporate,Technology,Telephones and Communication,6160,Small Box,56.99999999999999,3/8/10,927.92,Small,Box
4132,5/28/11,Not Specified,5,14.76,1.0,Regular Air,1.32,2.88,0.5,Aaron Bergman,NY,Corporate,Office Supplies,Labels,Avery 49,Small Box,36.0,5/30/11,14.399999999999999,Small,Box
4612,9/19/10,Medium,9,89.55,6.0,Regular Air,-375.64,4.48,49.0,Jim Radford,NY,Corporate,Office Supplies,Appliances,Hoover PortapowerÈ Portable Vacuum,Large Box,60.0,9/21/10,40.32000000000001,Large,Box
4676,8/31/11,High,11,1210.0515,4.0,Regular Air,-104.25,125.99,7.69,Annie Cyprus,NY,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,57.99999999999999,9/1/11,1385.8899999999999,Small,Box
4676,8/31/11,High,50,187.83,3.0,Regular Air,85.96,3.75,0.5,Annie Cyprus,NY,Home Office,Office Supplies,Labels,Avery 510,Small Box,37.0,9/2/11,187.5,Small,Box
4676,8/31/11,High,3,49.59,7.000000000000001,Express Air,-8.38,12.28,6.47,Annie Cyprus,NY,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,38.0,9/2/11,36.839999999999996,Small,Box
4676,8/31/11,High,30,4253.009,1.0,Regular Air,1115.69,155.99,8.99,Annie Cyprus,NY,Home Office,Technology,Telephones and Communication,LX 788,Small Box,57.99999999999999,9/1/11,4679.700000000001,Small,Box
5284,7/8/11,Not Specified,7,59.38,10.0,Regular Air,-3.05,8.69,2.99,Annie Cyprus,NY,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ Ring Binder, Heavy Gauge Vinyl",Small Box,39.0,7/10/11,60.83,Small,Box
5316,1/30/09,Critical,42,1285.37,10.0,Regular Air,514.07,31.78,1.99,Clay Rozendal,NY,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,42.0,2/1/09,1334.76,Small,Pack
5409,1/8/12,Low,11,48.91,1.0,Regular Air,-7.04,3.98,2.97,Don Jones,NY,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,35.0,1/13/12,43.78,Wrap,Bag
5506,11/7/10,Critical,22,129.62,5.0,Regular Air,4.41,5.88,3.04,Beth Thompson,NY,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,36.0,11/8/10,129.35999999999999,Wrap,Bag
5569,4/29/10,Not Specified,12,118.97,9.0,Regular Air,-0.06,9.65,6.22,Frank Price,NY,Corporate,Furniture,Office Furnishings,"Eldon ExpressionsÈ Desk Accessory, Wood Pencil Holder, Oak",Small Box,55.00000000000001,5/1/10,115.80000000000001,Small,Box
5607,12/31/11,Not Specified,8,61.8715,0.0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,NY,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,60.0,1/3/12,63.92,Medium,Box
5894,8/12/09,High,7,384.33,10.0,Regular Air,87.68,58.1,1.49,Ann Chong,NY,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,38.0,8/13/09,406.7,Small,Box
5894,8/12/09,High,3,239.03,1.0,Regular Air,-68.22,80.48,4.5,Ann Chong,NY,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,55.00000000000001,8/15/09,241.44,Small,Box
5925,11/12/11,Low,44,3922.42,8.0,Regular Air,-354.9,92.23,39.61,Joy Bell,NY,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,67.0,11/19/11,4058.1200000000003,Medium,Box
5925,11/12/11,Low,25,1733.3625,7.000000000000001,Regular Air,-267.01,85.99,0.99,Joy Bell,NY,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,85.0,11/19/11,2149.75,Wrap,Bag
6016,1/20/12,High,19,208.28,7.000000000000001,Regular Air,3.63,11.48,5.43,Skye Norling,NY,Home Office,Office Supplies,Paper,Personal CreationsÈ Ink Jet Cards and Labels,Small Box,36.0,1/20/12,218.12,Small,Box
6116,3/20/09,Medium,6,9620.82,4.0,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,NY,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,81.0,3/22/09,9825.18,Medium,Box
6182,7/21/12,Low,40,255.48,4.0,Regular Air,-116.79,6.48,6.65,Grant Carroll,NY,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,36.0,7/28/12,259.20000000000005,Small,Box
6182,7/21/12,Low,18,130.32,4.0,Express Air,-67.28,6.48,7.86,Grant Carroll,NY,Corporate,Office Supplies,Paper,Xerox 213,Small Box,37.0,7/25/12,116.64000000000001,Small,Box
6535,6/12/12,Critical,11,312.36,7.000000000000001,Express Air,-19.33,28.15,8.99,Adrian Hane,NY,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,56.99999999999999,6/15/12,309.65,Small,Pack
6884,1/15/09,Low,41,217.0,1.0,Regular Air,-61.21,4.98,4.75,Skye Norling,NY,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,36.0,1/20/09,204.18,Small,Box
6884,1/15/09,Low,47,296.13,4.0,Regular Air,119.09,6.35,1.02,Skye Norling,NY,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,39.0,1/20/09,298.45,Wrap,Bag
6916,6/4/10,Low,40,436.17,8.0,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,NY,Consumer,Office Supplies,Storage & Organization,Crate-A-FilesÈ,Small Box,59.0,6/8/10,436.0,Small,Box
6980,2/18/10,Not Specified,18,136.29,5.0,Regular Air,-77.28,7.3,7.72,Ralph Knight,NY,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,38.0,2/19/10,131.4,Small,Box
6982,11/16/11,Not Specified,32,1311.25,0.0,Express Air,407.44,39.48,1.99,Dorothy Wardle,NY,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,54.0,11/18/11,1263.36,Small,Pack
6982,11/16/11,Not Specified,5,544.41,9.0,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,NY,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,78.0,11/18/11,504.90000000000003,Jumbo,Box
6982,11/16/11,Not Specified,41,844.09,4.0,Regular Air,52.56,19.98,10.49,Dorothy Wardle,NY,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,49.0,11/18/11,819.1800000000001,Small,Box
7110,8/7/11,Low,22,6396.2,2.0,Regular Air,1902.24,276.2,24.49,Grant Carroll,NY,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,0.0,8/11/11,6076.4,Large,Box
7430,6/8/10,Medium,50,751.77,5.0,Regular Air,353.2,15.67,1.39,Barry Weirich,NY,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,38.0,6/9/10,783.5,Small,Box
7906,10/17/09,Medium,37,1003.06,3.0,Regular Air,271.78,25.98,5.37,Beth Paige,NY,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,50.0,10/17/09,961.26,Medium,Box
8391,8/28/11,High,4,1266.72,4.0,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,NY,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,56.00000000000001,8/29/11,1203.92,Jumbo,Drum
8419,9/29/11,Critical,19,368.04,7.000000000000001,Express Air,70.39,19.98,5.97,Nicole Hansen,NY,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,38.0,10/1/11,379.62,Small,Box
8419,9/29/11,Critical,24,152.6,10.0,Regular Air,-86.62,6.48,7.03,Nicole Hansen,NY,Small Business,Office Supplies,Paper,Xerox 214,Small Box,37.0,9/30/11,155.52,Small,Box
8833,5/4/12,Low,40,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nicole Hansen,NY,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,81.0,5/8/12,3239.2000000000003,Large,Box
8995,5/17/11,High,5,24.16,8.0,Express Air,8.05,1.88,1.49,Beth Paige,NY,Consumer,Office Supplies,Binders and Binder Accessories,StaplesÂ General Use 3-Ring Binders,Small Box,37.0,5/18/11,9.399999999999999,Small,Box
8995,5/17/11,High,41,270.84,10.0,Express Air,-78.02,6.48,5.86,Beth Paige,CA,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,36.0,5/18/11,265.68,Small,Box
8995,5/17/11,High,35,3389.93,8.0,Express Air,737.94,102.3,21.26,Beth Paige,CA,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,59.0,5/18/11,3580.5,Large,Box
8995,5/17/11,High,42,266.36,7.000000000000001,Regular Air,-191.28,6.48,8.19,Beth Paige,CA,Consumer,Office Supplies,Paper,Xerox 217,Small Box,37.0,5/18/11,272.16,Small,Box
8995,5/17/11,High,46,89.41,1.0,Regular Air,-21.49,1.89,0.76,Beth Paige,CA,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,83.0,5/19/11,86.94,Wrap,Bag
9126,11/17/09,Medium,47,2799.7,4.0,Regular Air,884.08,62.05,3.99,Sylvia Foulston,CA,Corporate,Office Supplies,Appliances,"Acco SmartsocketÈ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,55.00000000000001,11/18/09,2916.35,Small,Box
9127,10/10/11,Not Specified,7,2039.56,4.0,Express Air,-329.49,279.48,35.0,Bryan Davis,CA,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,80.0,10/12/11,1956.3600000000001,Large,Box
9509,10/7/12,Not Specified,36,12175.82,2.0,Delivery Truck,2825.15,320.98,58.95,Joy Bell,CA,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series PagodaÈ Round Back Stacking Chairs,Jumbo Drum,56.99999999999999,10/8/12,11555.28,Jumbo,Drum
9509,10/7/12,Not Specified,5,101.21,10.0,Express Air,2.13,18.97,5.21,Joy Bell,CA,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,37.0,10/8/12,94.85,Small,Box
9509,10/7/12,Not Specified,32,1585.64,2.0,Regular Air,707.15,48.91,5.81,Joy Bell,CA,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,38.0,10/7/12,1565.12,Small,Box
9763,8/13/11,Medium,44,176.26,7.000000000000001,Regular Air,75.13,4.13,0.5,Alan Barnes,CA,Corporate,Office Supplies,Labels,Avery 506,Small Box,39.0,8/16/11,181.72,Small,Box
9927,8/16/11,High,32,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,CA,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,65.0,8/17/11,4511.36,Jumbo,Box
9927,8/16/11,High,44,10087.6,1.0,Regular Air,3387.35,218.08,18.06,Grant Carroll,CA,Corporate,Furniture,Chairs & Chairmats,"Lifetime AdvantageÈ Folding Chairs, 4/Carton",Large Box,56.99999999999999,8/17/11,9595.52,Large,Box
9927,8/16/11,High,34,1608.08,9.0,Express Air,-82.16,50.98,6.5,Grant Carroll,CA,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,73.0,8/17/11,1733.32,Small,Box
10022,3/4/09,Low,1,12.18,6.0,Regular Air,-3.88,10.14,2.27,Delfina Latchford,CA,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,36.0,3/4/09,10.14,Wrap,Bag
10437,8/18/09,Critical,50,820.52,1.0,Regular Air,-191.22,15.99,13.18,Don Jones,CA,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,37.0,8/20/09,799.5,Small,Box
10499,11/16/10,Not Specified,29,6250.936,1.0,Delivery Truck,31.21,262.11,62.74,Doug Bickford,CA,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,75.0,11/17/10,7601.1900000000005,Jumbo,Box
10535,5/27/11,Low,25,854.88,9.0,Regular Air,-44.14,33.98,19.99,Doug Bickford,CA,Corporate,Furniture,Office Furnishings,"LindenÂ 12"" Wall Clock With Oak Frame",Small Box,55.00000000000001,5/29/11,849.4999999999999,Small,Box
10535,5/27/11,Low,46,80.27,9.0,Regular Air,-0.79,1.76,0.7,Doug Bickford,CA,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,56.00000000000001,6/3/11,80.96,Wrap,Bag
10789,8/23/10,Not Specified,15,308.54,0.0,Express Air,76.42,19.84,4.1,Jamie Kunitz,CA,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,44.0,8/24/10,297.6,Wrap,Bag
10791,8/19/11,Not Specified,20,400.57,5.0,Regular Air,93.36,19.98,5.77,Anthony Johnson,CA,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,38.0,8/21/11,399.6,Small,Box
10945,1/3/12,Medium,14,1170.025,4.0,Regular Air,4.22,95.99,8.99,Ralph Knight,CA,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,56.99999999999999,1/5/12,1343.86,Small,Box
11137,11/29/12,High,48,5188.86,10.0,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,CA,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,78.0,11/30/12,5329.4400000000005,Small,Box
11202,3/17/12,Medium,8,339.81,5.0,Regular Air,79.59,43.41,2.99,Barry Weirich,CA,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,39.0,3/18/12,347.28,Small,Box
11456,4/12/10,Low,15,1519.9,9.0,Regular Air,399.37,105.34,24.49,Doug Bickford,CA,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,61.0,4/19/10,1580.1000000000001,Large,Box
11460,8/24/10,High,30,102.24,9.0,Regular Air,37.79,3.69,0.5,Carl Jackson,CA,Home Office,Office Supplies,Labels,Avery 487,Small Box,38.0,8/26/10,110.7,Small,Box
11495,7/4/11,High,6,965.69,0.0,Delivery Truck,-144.2,146.34,43.75,Brendan Dodson,CA,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,65.0,7/5/11,878.04,Jumbo,Box
11911,11/10/10,Critical,25,397.84,0.0,Regular Air,-14.75,15.22,9.73,Edward Hooks,CA,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin LoopÈ Wire Binding Elements, 9/16"" Spine, Black",Small Box,36.0,11/12/10,380.5,Small,Box
11941,6/24/10,Critical,4,73.07,8.0,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,CA,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,60.0,6/25/10,62.8,Small,Box
11941,6/24/10,Critical,26,4679.1,5.0,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,CA,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,74.0,6/25/10,4661.54,Jumbo,Box
12096,9/19/12,Medium,46,8009.5925,2.0,Regular Air,2332.4,200.99,8.08,Michelle Lonsdale,CA,Home Office,Technology,Telephones and Communication,5125,Small Box,59.0,9/19/12,9245.54,Small,Box
12096,9/19/12,Medium,23,4689.66,1.0,Regular Air,2176.19,194.3,11.54,Michelle Lonsdale,CA,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,59.0,9/21/12,4468.900000000001,Large,Box
12289,12/24/11,Low,25,3019.41,4.0,Regular Air,1269.05,120.97,7.11,Brendan Dodson,CA,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,36.0,12/28/11,3024.25,Medium,Box
